Offer ID,Campaign,Coupon Title,Coupon Code, Start Date,End Date, Landing Page 
766,NetMeds CPS,FLAT 20%,PAYOOM,05/25/2016,01/22/2017,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2F%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
219,India Flower Mall - CPS,Flat 10% off on every product,PMFD10,06/02/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
219,India Flower Mall - CPS,Flat 10% off ,IFMFLAT10,07/01/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
219,India Flower Mall - CPS,Flat INR 100 off,IFMFLAT100,07/01/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
219,India Flower Mall - CPS,on shopping above INR 799,IFMPF01	,07/01/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
219,India Flower Mall - CPS,Flat 15% off  on or above INR 999,IFMFLAT15,07/01/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
219,India Flower Mall - CPS,Flat 20% off on or above INR 1499,IFMFLAT20,07/01/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=219&aff_id=18862&url=http%3A%2F%2Fwww.indiaflowermall.com%2F%3Ftag%3Dpom16
1262,Fabhotels- CPS,Flat 15% off on all Fabhotels properties,FABPAY15,09/22/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1262&aff_id=18862&url=www.fabhotels.com%3F%3Futm_source%3DAlliance%26utm_medium%3Dpayoom%26utm_campaign%3Dpayoom
1262,Fabhotels- CPS,Flat 750 off on a min booking of 1499,FABPAY750,09/22/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1262&aff_id=18862&url=www.fabhotels.com%3F%3Futm_source%3DAlliance%26utm_medium%3Dpayoom%26utm_campaign%3Dpayoom
1262,Fabhotels- CPS,Flat 30% off on selected leisure properties only on weekdays, FABPAY30,09/22/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1262&aff_id=18862&url=www.fabhotels.com%3F%3Futm_source%3DAlliance%26utm_medium%3Dpayoom%26utm_campaign%3Dpayoom
1262,Fabhotels- CPS,Flat Rs.750 off on a min booking amount of 1500 on all FabHotels,FABPAY750,10/15/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1262&aff_id=18862&url=www.fabhotels.com%3F%3Futm_source%3DAlliance%26utm_medium%3Dpayoom%26utm_campaign%3Dpayoom
1262,Fabhotels- CPS,Book 2 Nights and get 1 Night free on all FabHotels,FABPAY1N,10/15/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1262&aff_id=18862&url=www.fabhotels.com%3F%3Futm_source%3DAlliance%26utm_medium%3Dpayoom%26utm_campaign%3Dpayoom
1097,Medlife.com,30% OFF ,MLPMNV1,11/01/2016,12/15/2016,http://tracking.payoom.com/aff_c?offer_id=1097&aff_id=18862&url=www.medlife.com%3Futm_source%3Dpayoom%26utm_medium%3Daffiliate%26utm_campaign%3D30per%26utm_id%3D%7Baffiliate_id%7D
1097,Medlife.com,25% Off ,MLPMNV2,11/01/2016,12/15/2016,http://tracking.payoom.com/aff_c?offer_id=1097&aff_id=18862&url=www.medlife.com%3Futm_source%3Dpayoom%26utm_medium%3Daffiliate%26utm_campaign%3D30per%26utm_id%3D%7Baffiliate_id%7D
1097,Medlife.com,20% off ,MLPMNV3,11/03/2016,12/15/2016,http://tracking.payoom.com/aff_c?offer_id=1097&aff_id=18862&url=www.medlife.com%3Futm_source%3Dpayoom%26utm_medium%3Daffiliate%26utm_campaign%3D30per%26utm_id%3D%7Baffiliate_id%7D
1138,Yumist- CPS,Get 30% off on your first Yumist order + Rs 50 cashback in your Yumist wallet,YMPAY30,11/14/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1138&aff_id=18862&url=www.yumist.com%3Futm_source%3Dpayoom%26utm_medium%3Dcps%26utm_campaign%3Daffiliate
1138,Yumist- CPS,Get 50% off on your first Yumist order. Minimum order value - Rs 150. Max. discount - Rs 75.,YMPAY50,11/14/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1138&aff_id=18862&url=www.yumist.com%3Futm_source%3Dpayoom%26utm_medium%3Dcps%26utm_campaign%3Daffiliate
1228,FreshMenu -  CPS ,Get 50% OFF on Every First Order (Who ever sign up for first time), PAYC50,11/17/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1228&aff_id=18862&url=www.freshmenu.com%3F%3Futm_source%3DPayoom%26utm_medium%3Dreferral%26utm_campaign%3D%7Baffiliate_id%7D
1228,FreshMenu -  CPS ,Get Rs.50 Flat Off on Orders Worth Rs.250 & Above,PAYN50,11/17/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1228&aff_id=18862&url=www.freshmenu.com%3F%3Futm_source%3DPayoom%26utm_medium%3Dreferral%26utm_campaign%3D%7Baffiliate_id%7D
1228,FreshMenu -  CPS ,Flat 20% Off,PAYNEW20,11/17/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1228&aff_id=18862&url=www.freshmenu.com%3F%3Futm_source%3DPayoom%26utm_medium%3Dreferral%26utm_campaign%3D%7Baffiliate_id%7D
1228,FreshMenu -  CPS ,Rs.75 Off on Rs.300,PAYNEW75,11/17/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1228&aff_id=18862&url=www.freshmenu.com%3F%3Futm_source%3DPayoom%26utm_medium%3Dreferral%26utm_campaign%3D%7Baffiliate_id%7D
1228,FreshMenu -  CPS ,Get Rs.50 Flat Off on Orders Worth Rs.350 & Above,PAY50,11/17/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1228&aff_id=18862&url=www.freshmenu.com%3F%3Futm_source%3DPayoom%26utm_medium%3Dreferral%26utm_campaign%3D%7Baffiliate_id%7D
1228,FreshMenu -  CPS ,FLAT 20% Off on Orders Worth Rs.400 & Above , PAY20,11/17/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1228&aff_id=18862&url=www.freshmenu.com%3F%3Futm_source%3DPayoom%26utm_medium%3Dreferral%26utm_campaign%3D%7Baffiliate_id%7D
1228,FreshMenu -  CPS ,Get Rs.100 Off on Orders Worth Rs.500 & Above,PAY100,11/17/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1228&aff_id=18862&url=www.freshmenu.com%3F%3Futm_source%3DPayoom%26utm_medium%3Dreferral%26utm_campaign%3D%7Baffiliate_id%7D
1210,Ajio- CPS,Flat 15% off on Rs. 1500 & above,AFF15,12/01/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=1210&aff_id=18862&url=www.ajio.com%3Futm_source%3Dpayoom%26utm_medium%3DAffiliates
52,Ferns n Petals - CPS,New Year Offer Flat 15% OFF,New15,12/04/2016,01/15/2017,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=+https%3A%2F%2Fwww.giftsbymeeta.com%2Fnew-year%2Fnew-year-gifts%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS,10% OFF on Tea Light Holders,OFFER10,12/04/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=https%3A%2F%2Fwww.giftsbymeeta.com%2Ftea-light-holders%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS, Sidewise Rs. 100 OFF Min Purchase Rs. 500,GBM100,12/05/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=https%3A%2F%2Fwww.giftsbymeeta.com%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS,Sidewise Flat 15% OFF Min Purchase Rs. 800,GBM15,12/05/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=+https%3A%2F%2Fwww.giftsbymeeta.com%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS, Flat 20% off on Rs. 500 and above.,PayOOM,12/05/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=+https%3A%2F%2Fwww.giftsbymeeta.com%2Fdiscount-on-gifts%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS,Flat 10% OFF on Anniversay Gifts Rs. 499 & Above,VCGBMA10,12/05/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=https%3A%2F%2Fwww.giftsbymeeta.com%2Fanniversary-gifts%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
193,Paytm CPS,Flat 50% Cashback on Movie Tickets . ,AFFMOVIE,12/07/2016,12/17/2016,http://tracking.payoom.com/aff_c?offer_id=193&aff_id=18862&url=https%3A%2F%2Fpaytm.com%2Fmovies+%3Futm_source%3DPayoom%26utm_medium%3Daffiliate%26utm_term%3D%7Baffiliate_id%7D%7Btransaction_id%7D%26utm_campaign%3DPayoom
18,PrettySecrets - CPS,10% off on Rs. 1000 & above,PS10,12/08/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=18&aff_id=18862&url=www.prettysecrets.com%3Futm_source%3Dpayoom%26utm_medium%3Dcps%26utm_campaign%3Daffiliate
18,PrettySecrets - CPS, 20% off on Rs. 2500 & above,Payoom20,12/08/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=18&aff_id=18862&url=www.prettysecrets.com%3Futm_source%3Dpayoom%26utm_medium%3Dcps%26utm_campaign%3Daffiliate
18,PrettySecrets - CPS,Flat Rs. 300 off on Rs. 1500 & above (NewUsers),NEWPS300,12/08/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=18&aff_id=18862&url=www.prettysecrets.com%3Futm_source%3Dpayoom%26utm_medium%3Dcps%26utm_campaign%3Daffiliate
1121,voonik- CPS,Offer: Up to 70% OFF on More than 1 Lakh Products.,,12/09/2016,12/11/2016,http://tracking.payoom.com/aff_c?offer_id=1121&aff_id=18862&url=+http%3A%2F%2Fwww.voonik.com%2Fcollections%2Fspecial-december-sale%3Futm_source%3Daffiliates%26utm_medium%3Dpayoom%26utm_campaign%3Dcps-%7Baffiliate_id%7D
594,Sports365 - CPS,Upto 30% OFF	https://www.sports365.in/fitness/yoga-aerobics/gym-balls.html,Gym,Yoga & Exercise Balls at upto 30% OFF,12/08/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=594&aff_id=18862&url=https%3A%2F%2Fwww.sports365.in%2Ffitness%2Fyoga-aerobics%2Fgym-balls.html%3Futm_source%3Dpym%26utm_medium%3Dcps%26utm_campaign%3Daff
594,Sports365 - CPS,Volley balls at upto 60% OFF,,12/08/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=594&aff_id=18862&url=https%3A%2F%2Fwww.sports365.in%2Fteam-sports%2Fvolleyball%2Fballs.html%3Futm_source%3Dpym%26utm_medium%3Dcps%26utm_campaign%3Daff
594,Sports365 - CPS,Flat 70% OFF on IPL Merchandise	,,12/08/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=594&aff_id=18862&url=https%3A%2F%2Fwww.sports365.in%2Ffan-gear%2Fipl.html%3Futm_source%3Dpym%26utm_medium%3Dcps%26utm_campaign%3Daff
594,Sports365 - CPS,Fitness Gloves from leading brands Reebok and Adidas at upto 25% OFF,,12/08/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=594&aff_id=18862&url=https%3A%2F%2Fwww.sports365.in%2Fpremium-fitness-gloves.html%3Futm_source%3Dpym%26utm_medium%3Dcps%26utm_campaign%3Daff
594,Sports365 - CPS,Quechua Rainwears Raincoats & wind shitter - Upto 50%,,12/08/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=594&aff_id=18862&url=https%3A%2F%2Fwww.sports365.in%2Fquechua-rainwears-upto-50.html%3Futm_source%3Dpym%26utm_medium%3Dcps%26utm_campaign%3Daff
594,Sports365 - CPS,Football Fan Merchandise - FCB at 20% OFF,,12/08/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=594&aff_id=18862&url=https%3A%2F%2Fwww.sports365.in%2Fteam-sports%2Ffootball%2Ffootball-fan-merchandise.html%3Futm_source%3Dpym%26utm_medium%3Dcps%26utm_campaign%3Daff
594,Sports365 - CPS,Cricket Sale- Upto 60% OFF on Cricket accessories,,12/08/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=594&aff_id=18862&url=https%3A%2F%2Fwww.sports365.in%2Fcricket-bat-accessories-apparel%3Futm_source%3Dpym%26utm_medium%3Dcps%26utm_campaign%3Daff
594,Sports365 - CPS,Fitness Watch sale- Upto 30% Off on Sunnto & Garmin Watches. Additional 10% OFF on coupon code WATCPayOOM0., WATCPayOOM0.,12/08/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=594&aff_id=18862&url=https%3A%2F%2Fwww.sports365.in%2Fupto-30-off-on-sunnto-garmin-watches.html%3Futm_source%3DPayOOM%26utm_medium%3DPayOOM%26utm_campaign%3DWAT%26utm_source%3Dpym%26utm_medium%3Dcps%26utm_campaign%3Daff
74,LimeRoad - CPS, Buy 1 Get 1 FREE For Men,,12/08/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=74&aff_id=18862&url=http%3A%2F%2Fwww.limeroad.com%2Fb1g1%2Fmen%3Futm_source%3Daffiliates%26utm_medium%3Dpayoom_paid%26utm_campaign%3Ddefault
74,LimeRoad - CPS,Buy 1 Get 1 FREE for ALL ( Men/Women),,12/09/2016,12/14/2016,http://tracking.payoom.com/aff_c?offer_id=74&aff_id=18862&url=http%3A%2F%2Fwww.limeroad.com%2Fb1g1%2F%3Futm_source%3Daffiliates%26utm_medium%3Dpayoom_paid%26utm_campaign%3Ddefault
74,LimeRoad - CPS,Buy 3 for 999,,12/15/2016,12/17/2016,http://tracking.payoom.com/aff_c?offer_id=74&aff_id=18862&url=http%3A%2F%2Fwww.limeroad.com%2Foffers%2Fbuy3-999%3Futm_source%3Daffiliates%26utm_medium%3Dpayoom_paid%26utm_campaign%3Ddefault
265,Chumbak,150 off on purchases above 999,PAYOOM150,12/09/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=265&aff_id=18862&url=www.chumbak.com%3Futm_campaign%3DPayoom-Affiliate%26utm_medium%3DAffiliate%26utm_source%3Dcps
265,Chumbak,250 off on purchases above 1098,PAYOOM200 ,12/09/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=265&aff_id=18862&url=www.chumbak.com%3Futm_campaign%3DPayoom-Affiliate%26utm_medium%3DAffiliate%26utm_source%3Dcps
265,Chumbak, 250 off on purchases above 1249,PAYOOM250 ,12/09/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=265&aff_id=18862&url=www.chumbak.com%3Futm_campaign%3DPayoom-Affiliate%26utm_medium%3DAffiliate%26utm_source%3Dcps
265,Chumbak,400 off on purchases above 1999,PAYOOM400,12/09/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=265&aff_id=18862&url=+www.chumbak.com%3Futm_campaign%3DPayoom-Affiliate%26utm_medium%3DAffiliate%26utm_source%3Dcps
741,Wonderchef - CPS, 5% off on total cart value of Rs 1000 and above, Payoom5,12/09/2016,01/31/2017,http://tracking.payoom.com/aff_c?offer_id=741&aff_id=18862&url=www.wonderchef.com%3Futm_source%3DPayoom%26utm_medium%3DDisplay%26utm_campaign%3DPayoom
741,Wonderchef - CPS,10% off on total cart value of Rs 2000 and above,Payoom10,12/09/2016,01/31/2017,http://tracking.payoom.com/aff_c?offer_id=741&aff_id=18862&url=www.wonderchef.com%3Futm_source%3DPayoom%26utm_medium%3DDisplay%26utm_campaign%3DPayoom
52,Ferns n Petals - CPS,Flat Rs 100/- off on minimum purchase of Rs 799/-,FNPOOM100,12/09/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=http%3A%2F%2Fwww.fnp.com%2F%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS,Rs. 200 off on minimum purchase of Rs. 1550/-,FNPOOM200,12/09/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=http%3A%2F%2Fwww.fnp.com%2F%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS,Flat Rs. 50 off on Plants category,FNPOOM50P,12/09/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=+http%3A%2F%2Fwww.fnp.com%2Fplants%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS,Flat 10% Off , FNPOOM10 ,12/09/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=http%3A%2F%2Fwww.fnp.com%2F%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS,15% Off on personalized gifts starting Rs.199 PAY15PSG http://www.fnp.com/personalised-gifts,PAY15PSG,12/09/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=http%3A%2F%2Fwww.fnp.com%2Fpersonalised-gifts%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS,15% Off on Chocolates starting Rs.399 ,PAY15CHOC,12/09/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=http%3A%2F%2Fwww.fnp.com%2Fchocolates%2Fbirthday%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS,12% Off on Birthday Gifts ,PAY12BDG,12/09/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=http%3A%2F%2Fwww.fnp.com%2Fgifts%2Fbirthday%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS,12% Off on Anniversary Gifts,PAYD12ANG,12/09/2016,12/31/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=http%3A%2F%2Fwww.fnp.com%2Fgifts%2Fanniversary%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
456,Voylla - CPS,Fashion Jewelry Below Rs 299!,,12/12/2016,12/25/2016,http://tracking.payoom.com/aff_c?offer_id=456&aff_id=18862&url=https%3A%2F%2Fnia.voylla.com%2Fcampaign%2Fbelow-299-women%3Futm_source%3Dpayoom%26utm_medium%3Daffiliate%26utm_campaign%3Dpayoom
456,Voylla - CPS,Upto 70% OFF On Your Favourite Jewelry!,,12/12/2016,12/25/2016,http://tracking.payoom.com/aff_c?offer_id=456&aff_id=18862&url=https%3A%2F%2Fnia.voylla.com%2Fcampaign%2Fupto-70-off-women%3Futm_source%3Dpayoom%26utm_medium%3Daffiliate%26utm_campaign%3Dpayoom
456,Voylla - CPS,Women Jewelry : Rs 99 Store!,,12/12/2016,12/25/2016,http://tracking.payoom.com/aff_c?offer_id=456&aff_id=18862&url=https%3A%2F%2Fnia.voylla.com%2Fcampaign%2Fwomen-99-store%3Futm_source%3Dpayoom%26utm_medium%3Daffiliate%26utm_campaign%3Dpayoom
456,Voylla - CPS,Upto 80% OFF!,,12/12/2016,12/25/2016,http://tracking.payoom.com/aff_c?offer_id=456&aff_id=18862&url=https%3A%2F%2Fnia.voylla.com%2Fcampaign%2Fclearance-women%3Futm_source%3Dpayoom%26utm_medium%3Daffiliate%26utm_campaign%3Dpayoom
